Date;API2;MTFc1 (TRDPRC_1);CMAP4C1 (TRDPRC_1)
13/03/2024;98.8855;100,0274;89,979
12/03/2024;96.5763;100,0092;90,6261
08/03/2024;100.576;101,6275;91,2042
07/03/2024;100.0365;101,1785;91,3576
06/03/2024;103.2394;102,9182;93,1449
05/03/2024;102.7176;103,6389;93,4132
04/03/2024;98.1205;102,2664;93,2836
01/03/2024;97.0102;98,7358;93,6606
29/02/2024;93.0297;96,1307;92,5669
28/02/2024;96.4378;95,6534;92,285
27/02/2024;93.1391;93,0468;90,972
26/02/2024;90.3476;90,9929;84,9544
23/02/2024;86.8922;88,5284;85,1821
22/02/2024;86.6211;88,3766;85,1428
21/02/2024;86.9002;87,9634;85,19
15/02/2024;85.5538;87,7356;84,9503
05/02/2024;90.0754;91,4254;87,5151
01/02/2024;88.0703;89,6339;87,2884
24/01/2024;85.6841;97,3077;87,2921
18/01/2024;93.25;98,3079;87,8242
17/01/2024;92.3628;98,3365;88,365
16/01/2024;96.2847;99,3195;87,8242
10/01/2024;96.6001;99,3528;88,8707
09/01/2024;98.5729;101,6833;91,7116
05/01/2024;101.4532;105,3377;90,6224
03/01/2024;93.398;100,0366;91,0173
22/12/2023;95.3678;105,2225;91,5077
18/12/2023;97.5096;106,9859;92,0161
14/12/2023;100.0819;107,3606;92,3483
07/12/2023;109.1086;113,0467;99,8425
06/12/2023;108.2513;111,8751;97,7978
01/12/2023;107.003;110,1002;105,2293
30/11/2023;102.8844;108,8095;105,181
23/11/2023;108.6757;112,7492;104,5488
20/11/2023;102.1668;111,3092;103,5381
08/11/2023;106.7059;116,4659;106,9394
06/11/2023;110.3593;112,6925;111,2926
03/11/2023;112.7785;116,0406;111,9862
02/11/2023;111.3465;116,7608;112,2881
31/10/2023;115.3555;116,4429;117,8612
30/10/2023;122.9624;120,7953;122,2557
24/10/2023;126.5584;127,7389;124,4333
23/10/2023;127.4841;128,4214;124,2032
17/10/2023;131.9149;131,2057;127,1868
16/10/2023;132.6009;131,5116;127,1548
12/10/2023;126.7338;127,5413;124,6912
11/10/2023;122.4451;122,4451;122,5864
10/10/2023;118.5985;122,8426;120,6262
02/10/2023;120.7522;118,3658;116,218
08/09/2023;107.7203;108,5615;106,7857
07/09/2023;105.6173;108,655;104,9163
01/09/2023;109.069;108,28;104,9661
30/08/2023;111.6807;111,9096;99,3806
25/08/2023;111.6944;109,2608;103,1481
23/08/2023;114.191;108,8038;103,2784
22/08/2023;119.882;109,5076;103,4212
21/08/2023;112.9373;109,1268;102,1486
16/08/2023;110.355;105,7569;100,6989
15/08/2023;110.9685;106,2454;100,4219
14/08/2023;108.6757;105,5117;100,8804
11/08/2023;110.106;105,8571;99,598
10/08/2023;109.5273;105,0642;99,9636
09/08/2023;110.0428;105,6229;97,5121
08/08/2023;102.7022;104,9845;97,6812
03/08/2023;100.9686;98,8213;92,7449
02/08/2023;94.6416;96,1503;93,2699
01/08/2023;98.798;94,5638;92,424
